iter	RMSE
0	26867265.81
1	25443435.4
2	24201352.25
3	23033408.67
4	22145520.4
5	21329849.62
6	20655491.45
7	19861428.79
8	19127902.14
9	18430845.57
10	17871124.26
11	17365460.04
12	16860751.03
13	16466499.51
14	16084393.24
15	15711506.72
16	15396691.82
17	15047356.78
18	14793214.36
19	14543670.12
20	14353043.24
21	14118638.65
22	13989654.51
23	13786360.3
24	13685546.09
25	13573892.42
26	13408287.27
27	13307153.5
28	13180962.2
29	13121887.59
30	13076219.2
31	13042219.66
32	12953162.34
33	12890931.21
34	12806121.94
35	12726504.8
36	12674273.17
37	12621189.26
38	12558168.49
39	12468292.69
40	12392650.13
41	12357482.24
42	12334410.32
43	12299118.59
44	12240512.49
45	12170631.9
46	12142423.71
47	12106477.2
48	12057067.22
49	12014047.03
50	11990945.94
51	11969762.26
52	11931600.15
53	11894024.05
54	11874740.94
55	11850595.37
56	11824185.78
57	11794342.92
58	11762793.26
59	11736615.23
60	11720297.41
61	11693973.89
62	11663672.98
63	11647811.31
64	11630160.54
65	11611073.01
66	11581598.15
67	11567462.08
68	11550165.55
69	11534094.16
70	11512426.29
71	11507546.46
72	11460617.83
73	11446873.3
74	11411457.86
75	11396380.99
76	11369391.79
77	11313960.36
78	11281255.1
79	11247975.45
80	11230597.63
81	11182327.62
82	11160265.51
83	11147535.36
84	11114102.54
85	11082608.43
86	11065472.75
87	11039813.91
88	11025388.5
89	11021706.68
90	11020515.05
91	11013096.76
92	11000582.9
93	10976426.94
94	10959922.99
95	10914141.77
96	10873330.07
97	10851736.81
98	10850404.02
99	10807662.38
100	10785017.11
101	10760225.57
102	10740465.59
103	10724102.63
104	10703263.25
105	10684405.15
106	10660617.8
107	10639715.53
108	10615950.95
109	10602353.4
110	10581965.66
111	10567446.23
112	10551461.63
113	10527738.66
114	10514347.85
115	10496649.6
116	10482893.45
117	10466251.16
118	10441551.63
119	10436497.6
120	10431948.44
121	10400436.89
122	10381469.9
123	10361803.28
124	10343827.46
125	10338487.84
126	10321392.89
127	10311141.8
128	10308994.11
129	10297268.33
130	10283699.52
131	10272710.46
132	10260517.94
133	10250195.93
134	10239846.81
135	10227474.03
136	10196779.65
137	10187499.51
138	10168047.74
139	10165749.36
140	10162104.28
141	10150929.68
142	10140015.07
143	10130803.49
144	10126879.63
145	10119474.54
146	10109356.36
147	10068233.71
148	10057761.88
149	10036316.76
150	10020693.19
151	10005576.9
152	9992564.942
153	9984572.645
154	9977290.551
155	9965281.03
156	9961839.377
157	9950994.967
158	9929714.247
159	9916556.696
160	9910008.042
161	9901467.893
162	9882574.773
163	9869861.258
164	9862694.89
165	9861489.487
166	9860816.226
167	9854624.545
168	9845429.45
169	9832721.118
170	9817839.816
171	9805375.633
172	9798140.596
173	9786947.661
174	9785863.355
175	9770429.316
176	9765728.584
177	9751955.42
178	9739759.5
179	9729486.208
180	9716421.149
181	9715436.417
182	9714541.479
183	9698937.279
184	9698095.66
185	9689842.187
186	9683261.315
187	9672104.283
188	9648028.687
189	9647545.273
190	9636422.033
191	9628236.722
192	9627769.41
193	9617377.802
194	9602950.94
195	9593041.718
196	9587953.963
197	9566081.51
198	9565393.279
199	9554262.795
200	9545106.445
201	9511817.623
202	9504407.347
203	9500011.18
204	9489128.853
205	9476474.527
206	9468584.976
207	9468160.081
208	9455755.892
209	9446617.102
210	9432785.713
211	9427192.034
212	9418291.634
213	9411725.018
214	9411312.046
215	9402134.855
216	9394697.387
217	9389495.292
218	9377586.013
219	9364727.953
220	9360045.706
221	9359691.301
222	9352779.84
223	9352413.297
224	9352092.48
225	9340556.421
226	9332605.998
227	9309439.987
228	9309126.239
229	9304164.015
230	9296038.741
231	9286596.56
232	9281191.928
233	9272730.154
234	9262200.257
235	9254857.992
236	9250335.9
237	9238652.442
238	9226823.549
239	9223316.638
240	9217207.218
241	9206333.987
242	9195827.917
243	9194156.171
244	9189636.883
245	9177960.107
246	9169685.821
247	9169397.655
248	9158819.362
249	9153282.466
250	9153077.968
251	9147014.45
252	9146739.926
253	9137666.045
254	9128807.403
255	9121572.379
256	9110421.081
257	9103463.093
258	9099257.766
259	9090442.749
260	9082432.83
261	9070568.912
262	9042907.882
263	9039935.407
264	9031586.589
265	9015322.506
266	9006439.721
267	8998088.851
268	8994183.551
269	8990382.54
270	8983439.133
271	8978744.869
272	8966494.884
273	8958051.087
274	8950921.56
275	8942147.994
276	8938513.922
277	8928246.336
278	8922547.511
279	8917099.686
280	8909719.053
281	8900380.966
282	8893585.023
283	8886242.31
284	8885996.38
285	8881470.309
286	8876790.5
287	8869276.231
288	8863452.801
289	8853035.579
290	8848120.91
291	8841705.669
292	8831480.472
293	8819407.386
294	8811051.031
295	8805207.813
296	8800977.421
297	8798732.4
298	8793372.585
299	8774332.885
