time_left,ct_score,t_score,map,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive,health_lead,armor_lead,money_lead,helmets_lead,players_alive_lead,KMeans_Cluster,DBSCAN_Cluster,GaussianMixture_Cluster,CustomKMeans_Cluster
89.89,13,7,5,460,451,486,485,350,11750,2,5,3,5,5,0,0,1,1,2,1,-1,0,1
174.95,0,3,4,500,500,0,389,27200,23000,0,4,0,5,5,2,1,0,1,2,1,-1,1,1
74.91,12,11,3,500,500,483,466,4400,29850,1,5,4,5,5,2,0,1,1,2,1,-1,1,1
94.95,12,14,3,493,500,0,499,13300,19250,0,5,0,5,5,1,1,1,1,2,1,-1,0,1
54.81,2,1,5,300,62,260,0,4650,2350,3,0,2,3,1,0,0,0,0,0,0,-1,0,0
74.93,8,11,2,500,437,400,498,11050,3700,0,5,0,5,5,0,1,0,1,2,1,-1,0,1
94.9,2,4,1,454,400,484,339,700,19850,3,4,0,5,4,0,0,1,1,0,0,-1,0,0
54.96,6,11,2,400,500,400,419,800,12050,2,5,1,4,5,1,1,1,1,1,1,-1,0,1
54.95,7,12,1,499,400,499,389,1200,2000,4,4,1,5,4,0,0,1,2,0,0,-1,0,0
174.96,6,7,2,500,500,400,0,21300,43100,1,0,3,5,5,2,0,1,0,2,1,-1,1,1
26.82,2,0,1,391,195,369,197,10650,350,4,2,2,4,2,0,0,0,0,0,0,-1,0,0
34.95,1,0,3,211,41,290,82,1050,150,1,1,0,3,1,0,0,0,2,0,0,-1,0,0
114.95,9,9,1,500,500,475,0,16150,10000,5,0,3,5,5,2,0,0,0,2,1,-1,1,1
94.94,7,7,3,500,500,499,400,17800,450,5,4,5,5,5,2,0,0,0,2,1,-1,1,1
74.9,14,12,5,500,500,200,456,14200,15900,1,5,1,5,5,2,1,1,1,2,1,-1,1,1
168.86,12,5,5,500,500,500,480,300,6050,2,5,0,5,5,2,0,1,1,2,1,-1,1,1
54.89,2,6,4,500,400,496,292,4550,43400,1,4,2,5,4,0,0,1,1,0,0,-1,0,0
14.77,0,0,6,82,133,89,172,750,900,0,0,0,1,2,1,1,1,2,1,0,-1,0,0
174.95,1,0,3,500,500,100,0,19500,15150,0,0,0,5,5,2,0,0,2,2,1,-1,1,1
94.95,6,8,2,400,400,400,383,500,6850,1,4,1,4,4,2,0,1,1,2,1,-1,0,1
13.55,1,3,2,54,161,89,258,50,1050,0,3,0,1,3,1,1,1,1,1,0,-1,0,0
74.91,12,14,1,272,314,319,399,14550,900,4,4,4,4,4,1,1,0,2,2,1,-1,0,1
60.66,5,4,5,236,200,295,200,15950,1000,3,2,1,3,2,0,0,0,0,0,0,-1,0,0
174.95,5,0,2,500,500,288,0,39850,18800,3,0,2,5,5,2,0,0,0,2,1,-1,1,1
94.95,15,7,1,487,500,500,500,3750,700,4,5,3,5,5,1,2,0,1,2,1,-1,0,1
175.0,13,14,1,500,500,200,388,9050,35400,2,4,0,5,5,2,1,1,1,2,1,-1,1,1
109.95,2,8,5,500,500,500,500,10800,7550,3,5,3,5,5,2,2,0,1,2,1,-1,1,1
109.98,14,4,2,400,500,0,500,11300,7850,0,5,0,4,5,1,1,0,1,1,1,-1,0,1
66.91,8,8,4,344,373,280,475,1300,1050,1,5,0,4,5,1,1,0,1,1,0,-1,0,0
174.91,7,2,4,500,500,200,0,22050,31900,2,0,2,5,5,2,0,1,0,2,1,-1,1,1
