1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,collision
0,1,1,внедорожник,передний,дизель,0,1,1,хэтчбек,передний,гибрид,да
1,0,0,грузовик,задний,дизель,0,1,0,седан,задний,бензин,нет
1,1,1,хэтчбек,задний,электро,1,0,0,грузовик,задний,дизель,нет
1,1,1,хэтчбек,полный,гибрид,0,1,0,седан,задний,бензин,нет
0,1,0,грузовик,задний,бензин,0,0,0,седан,полный,дизель,нет
0,1,0,седан,передний,бензин,1,0,1,внедорожник,полный,бензин,нет
0,1,1,внедорожник,передний,дизель,1,0,0,грузовик,задний,дизель,нет
0,1,0,грузовик,передний,электро,1,0,0,хэтчбек,задний,гибрид,нет
0,0,0,седан,полный,дизель,0,1,0,седан,задний,бензин,да
1,0,0,грузовик,задний,дизель,0,0,0,хэтчбек,полный,дизель,да
1,1,1,хэтчбек,задний,электро,0,0,0,хэтчбек,полный,дизель,нет
1,1,1,хэтчбек,полный,гибрид,1,1,0,внедорожник,полный,бензин,да
1,1,1,хэтчбек,полный,гибрид,0,1,0,седан,передний,бензин,нет
0,1,1,внедорожник,передний,дизель,0,1,0,седан,задний,бензин,нет
0,1,0,грузовик,передний,электро,0,1,0,седан,передний,бензин,да
1,0,0,хэтчбек,задний,гибрид,0,1,0,внедорожник,полный,гибрид,нет
1,1,0,внедорожник,полный,бензин,1,0,1,внедорожник,полный,бензин,да
0,1,0,внедорожник,полный,гибрид,0,1,0,седан,задний,бензин,да
0,1,0,грузовик,передний,электро,0,1,1,хэтчбек,передний,гибрид,да
0,1,1,хэтчбек,передний,гибрид,0,0,0,седан,полный,дизель,нет
1,1,1,хэтчбек,полный,гибрид,0,1,0,внедорожник,полный,гибрид,да
0,1,1,хэтчбек,передний,гибрид,0,1,0,внедорожник,полный,гибрид,да
0,1,1,хэтчбек,передний,гибрид,1,0,0,хэтчбек,задний,гибрид,нет
0,1,0,внедорожник,полный,гибрид,0,1,0,грузовик,задний,электро,да
1,1,1,хэтчбек,полный,гибрид,1,0,1,внедорожник,полный,бензин,да
1,0,0,хэтчбек,задний,гибрид,0,1,0,грузовик,задний,электро,нет
0,1,0,грузовик,задний,бензин,0,1,0,седан,задний,бензин,да
0,1,0,грузовик,задний,электро,1,0,1,внедорожник,полный,бензин,нет
1,1,0,внедорожник,полный,бензин,0,1,0,седан,задний,бензин,да
0,1,1,внедорожник,передний,дизель,0,0,0,седан,полный,дизель,нет
0,1,1,хэтчбек,передний,гибрид,0,0,0,хэтчбек,полный,дизель,нет
0,1,1,хэтчбек,передний,гибрид,0,1,0,седан,задний,бензин,нет
0,1,1,внедорожник,передний,дизель,1,1,1,хэтчбек,задний,электро,нет
0,1,1,хэтчбек,передний,гибрид,1,1,1,хэтчбек,задний,гибрид,да
0,1,1,хэтчбек,передний,гибрид,1,1,1,хэтчбек,полный,гибрид,да
0,1,1,хэтчбек,передний,гибрид,0,1,0,седан,передний,бензин,да
