1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,1_уровень_топлива,1_скоростной_режим,1_скорость,1_угол_поворота,1_дистанция_до_объекта,1_температура_двигателя,1_пробег,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,2_уровень_топлива,2_скоростной_режим,2_скорость,2_угол_поворота,2_дистанция_до_объекта,2_температура_двигателя,2_пробег,collision
1,0,1,седан,полный,гибрид,средний,медленно,100.27659725676644,-161.47069725467918,22.140285132359793,92.39740590309188,37722.303324060966,1,1,0,внедорожник,полный,бензин,высокий,медленно,171.247557096205,-64.65632285723682,5.309649860513648,91.97116910435352,71503.73114697177,нет
0,1,0,хэтчбек,задний,бензин,высокий,медленно,118.6484740637366,7.157890702193612,51.159881416980845,95.80634585075188,46864.061801482014,1,0,1,седан,полный,гибрид,средний,медленно,100.27659725676644,-161.47069725467918,22.140285132359793,92.39740590309188,37722.303324060966,нет
0,1,1,внедорожник,передний,гибрид,средний,медленно,193.8431923391926,-157.60637249446103,160.41573610351176,106.4953573554817,54426.44435613932,1,1,0,грузовик,передний,бензин,средний,нормально,101.42103252413979,106.65487430188233,26.376775896968326,81.95538617480766,27664.99456107628,нет
1,1,0,грузовик,передний,бензин,средний,нормально,101.42103252413979,106.65487430188233,26.376775896968326,81.95538617480766,27664.99456107628,1,1,0,внедорожник,полный,бензин,высокий,медленно,171.247557096205,-64.65632285723682,5.309649860513648,91.97116910435352,71503.73114697177,нет
0,0,0,внедорожник,полный,бензин,высокий,медленно,162.20906493810355,44.08022166155388,55.988892891844465,92.32429153847137,33999.407301692176,1,1,1,грузовик,задний,дизель,высокий,медленно,61.51386089614641,-165.07026338326844,91.94525234527511,90.5888360040954,53379.684350993244,нет
1,1,1,внедорожник,передний,дизель,низкий,медленно,175.80359106558535,54.351307616816456,27.73777201341339,97.37798522053707,20693.655329810816,1,0,0,седан,полный,электро,низкий,медленно,85.04781278057361,90.96097579520057,79.78441268835687,84.57412539019184,75507.3204566371,нет
1,1,1,внедорожник,задний,электро,низкий,быстро,196.40749648029862,77.89236844406281,54.035896848415554,101.33143656065562,26969.61527445705,0,1,0,хэтчбек,задний,бензин,высокий,медленно,118.6484740637366,7.157890702193612,51.159881416980845,95.80634585075188,46864.061801482014,нет
1,1,1,внедорожник,задний,электро,высокий,нормально,166.07856970977693,116.66338591850212,97.48577897556716,86.23340435505578,64756.706884605956,1,1,0,грузовик,передний,бензин,средний,нормально,101.42103252413979,106.65487430188233,26.376775896968326,81.95538617480766,27664.99456107628,нет
1,1,1,хэтчбек,передний,дизель,высокий,нормально,72.42931093260943,60.3025807416108,28.7182328810937,88.63071309500684,54456.349823095225,1,1,0,седан,задний,электро,низкий,медленно,133.91047215301703,18.84051244124484,15.9162040704952,99.026333257207,38222.309995473785,нет
1,0,0,седан,полный,электро,низкий,медленно,85.04781278057361,90.96097579520057,79.78441268835687,84.57412539019184,75507.3204566371,1,0,1,грузовик,задний,дизель,низкий,нормально,21.150903394937124,37.38990880624459,41.35896638426617,83.35350052341953,58781.87596475374,нет
