1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,1_уровень_топлива,1_скоростной_режим,1_скорость,1_угол_поворота,1_дистанция_до_объекта,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,2_уровень_топлива,2_скоростной_режим,2_скорость,2_угол_поворота,2_дистанция_до_объекта,collision
1,0,0,седан,передний,дизель,средний,быстро,12.341622046109467,-51.43771063152104,81.95939162763612,0,0,1,грузовик,полный,бензин,средний,быстро,117.32498189596375,92.19917623990665,83.14953718752624,нет
1,0,1,грузовик,полный,бензин,высокий,нормально,5.934848647206148,1.798944892235454,63.542111442266666,1,1,0,грузовик,передний,бензин,высокий,медленно,182.9055212026164,-109.02780652732588,117.59975785397583,нет
1,0,1,грузовик,задний,гибрид,низкий,медленно,79.1947708305528,51.85264958944984,20.621714281765446,0,1,0,грузовик,полный,дизель,средний,медленно,41.45360038787269,-94.00022873317727,151.2378014705552,нет
0,1,1,седан,полный,бензин,высокий,нормально,100.47364731071944,73.38487935994013,9.51169956587006,1,1,1,внедорожник,передний,дизель,высокий,медленно,45.51066977073168,-104.23000189925237,75.8025482322285,нет
1,0,1,грузовик,полный,бензин,высокий,нормально,5.934848647206148,1.798944892235454,63.542111442266666,0,1,0,грузовик,полный,дизель,средний,медленно,41.45360038787269,-94.00022873317727,151.2378014705552,нет
0,1,1,седан,полный,бензин,высокий,нормально,100.47364731071944,73.38487935994013,9.51169956587006,1,0,0,седан,передний,дизель,средний,быстро,12.341622046109467,-51.43771063152104,81.95939162763612,нет
1,1,1,внедорожник,передний,дизель,высокий,медленно,45.51066977073168,-104.23000189925237,75.8025482322285,1,1,0,грузовик,передний,бензин,высокий,медленно,182.9055212026164,-109.02780652732588,117.59975785397583,нет
0,1,0,грузовик,передний,бензин,средний,медленно,194.51582950994722,19.8192620160643,6.024786916290539,1,0,1,грузовик,полный,бензин,высокий,нормально,5.934848647206148,1.798944892235454,63.542111442266666,нет
1,1,1,внедорожник,передний,дизель,высокий,медленно,45.51066977073168,-104.23000189925237,75.8025482322285,1,0,0,седан,передний,дизель,средний,быстро,12.341622046109467,-51.43771063152104,81.95939162763612,нет
0,1,0,грузовик,передний,бензин,средний,медленно,194.51582950994722,19.8192620160643,6.024786916290539,1,0,0,седан,передний,дизель,средний,быстро,12.341622046109467,-51.43771063152104,81.95939162763612,нет
